# PeekMicrobiome — abundance matrix, taxonomic (relative) abundance in %
# reference database: Human gut [human-gut] — MGnify human-gut v2.0.2
# database file: human-gut.syldb — https://zenodo.org/api/records/21842023/files/human-gut.syldb/content
# database DOI: 10.5281/zenodo.21842023
# database: genomes=4744, k=31, c=200, catalogue_species=4744
# matrix: 624 species x 84 samples
# exported: 2026-08-09T09:26:40.732Z
# every abundance below is relative to the reference database named above and to nothing else: sylph reports the closest genomes that database contains, and reports nothing at all about species it does not contain. A sample from another environment still produces a full, plausible table.
# reference per sample: ERR14098571=Human gut; ERR14098572=Human gut; ERR14098573=Human gut; ERR14098574=Human gut; ERR14098575=Human gut; ERR14098577=Human gut; ERR14098576=Human gut; ERR14098578=Human gut; ERR14098579=Human gut; ERR14098580=Human gut; ERR14098581=Human gut; ERR14098582=Human gut; ERR14098583=Human gut; ERR14098584=Human gut; ERR14098585=Human gut; ERR14098586=Human gut; ERR14098587=Human gut; ERR14098588=Human gut; ERR14098589=Human gut; ERR14098590=Human gut; ERR14098591=Human gut; ERR14098592=Human gut; ERR14098593=Human gut; ERR14098594=Human gut; ERR14098596=Human gut; ERR14098595=Human gut; ERR14098597=Human gut; ERR14098598=Human gut; ERR14098600=Human gut; ERR14098599=Human gut; ERR14098601=Human gut; ERR14098602=Human gut; ERR14098603=Human gut; ERR14098604=Human gut; ERR14098606=Human gut; ERR14098605=Human gut; ERR14098607=Human gut; ERR14098608=Human gut; ERR14098610=Human gut; ERR14098609=Human gut; ERR14098611=Human gut; ERR14098612=Human gut; ERR14098614=Human gut; ERR14098613=Human gut; ERR14098616=Human gut; ERR14098615=Human gut; ERR14098618=Human gut; ERR14098617=Human gut; ERR14098620=Human gut; ERR14098619=Human gut; ERR14098622=Human gut; ERR14098621=Human gut; ERR14098624=Human gut; ERR14098623=Human gut; ERR14098626=Human gut; ERR14098625=Human gut; ERR14098628=Human gut; ERR14098627=Human gut; ERR14098629=Human gut; ERR14098630=Human gut; ERR14098631=Human gut; ERR14098632=Human gut; ERR14098633=Human gut; ERR14098634=Human gut; ERR14098637=Human gut; ERR14098636=Human gut; ERR14098638=Human gut; ERR14098639=Human gut; ERR14098640=Human gut; ERR14098641=Human gut; ERR14098642=Human gut; ERR14098643=Human gut; ERR14098644=Human gut; ERR14098645=Human gut; ERR14098646=Human gut; ERR14098647=Human gut; ERR14098649=Human gut; ERR14098648=Human gut; ERR14098651=Human gut; ERR14098650=Human gut; ERR14098652=Human gut; ERR14098653=Human gut; ERR14098654=Human gut; ERR14098655=Human gut
species	genome	ERR14098571	ERR14098572	ERR14098573	ERR14098574	ERR14098575	ERR14098577	ERR14098576	ERR14098578	ERR14098579	ERR14098580	ERR14098581	ERR14098582	ERR14098583	ERR14098584	ERR14098585	ERR14098586	ERR14098587	ERR14098588	ERR14098589	ERR14098590	ERR14098591	ERR14098592	ERR14098593	ERR14098594	ERR14098596	ERR14098595	ERR14098597	ERR14098598	ERR14098600	ERR14098599	ERR14098601	ERR14098602	ERR14098603	ERR14098604	ERR14098606	ERR14098605	ERR14098607	ERR14098608	ERR14098610	ERR14098609	ERR14098611	ERR14098612	ERR14098614	ERR14098613	ERR14098616	ERR14098615	ERR14098618	ERR14098617	ERR14098620	ERR14098619	ERR14098622	ERR14098621	ERR14098624	ERR14098623	ERR14098626	ERR14098625	ERR14098628	ERR14098627	ERR14098629	ERR14098630	ERR14098631	ERR14098632	ERR14098633	ERR14098634	ERR14098637	ERR14098636	ERR14098638	ERR14098639	ERR14098640	ERR14098641	ERR14098642	ERR14098643	ERR14098644	ERR14098645	ERR14098646	ERR14098647	ERR14098649	ERR14098648	ERR14098651	ERR14098650	ERR14098652	ERR14098653	ERR14098654	ERR14098655
Phocaeicola massiliensis	MGYG000000243.fna	6.8884	6.9687	6.9668	7.2360	5.8582	5.7912	6.9541	7.1346	1.5625	1.6350	1.6006	1.6892	1.8238	1.8029	1.6196	1.6006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.1343	3.2587	2.6966	3.1753	2.6102	2.4918	2.7963	3.1375	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.8768	6.9871	1.7823	1.7318	1.6641	0.2911	0.2792	0.2653	0.0976	0.0887	0.0838	2.9671	2.8830	3.0077	0.0000	0.0000	0.0000	0.4560	0.4516	0.4555
Agathobacter rectalis	MGYG000002492.fna	6.2229	6.2596	6.1925	6.4922	5.2505	5.1844	6.2574	6.2443	4.5235	4.6270	4.4990	4.7569	3.3323	3.6082	4.6074	4.6667	0.4237	0.5107	0.4327	0.4857	0.0000	0.0000	0.3988	0.5396	1.7666	1.7091	1.6293	1.6552	2.4555	2.1651	1.6457	1.7890	0.6880	0.7186	0.7129	0.7012	1.0425	0.9233	0.7530	0.7104	1.8454	1.8927	2.0138	1.7663	2.3723	2.2070	1.9687	1.8750	6.2071	5.9772	6.4786	5.9736	4.2543	4.5876	6.1966	5.9483	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.1063	6.1069	4.2963	4.3688	4.1344	0.6534	0.6794	0.6337	0.6978	0.7001	0.6585	1.9378	1.9523	1.9273	5.6702	5.6889	5.5143	0.3771	0.3646	0.4019
Prevotella copri_A	MGYG000003697.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.9067	5.8039	5.7159	5.7749	4.2280	4.4947	5.7693	5.8874	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.7947	5.6508	5.6299	0.1364	0.0000	0.1375	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Streptococcus thermophilus	MGYG000004345.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1292	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2038	0.2477	0.0000	0.0000	0.2897	0.2905	0.3569	0.3544	0.3072	0.3620	0.9003	0.5839	0.4215	0.3229	0.0000	0.0000	0.0615	0.0000	0.0000	0.0000	0.0000	0.0000	0.6569	0.6108	0.6889	0.6839	0.9487	0.7396	0.7109	0.6242	5.5265	5.2675	5.7075	5.2719	4.1530	4.5305	5.5071	5.2564	0.0000	0.0000	0.0876	0.0000	0.0000	0.0000	0.0000	0.0000	0.0582	0.1110	0.0000	0.0000	0.0000	0.0708	0.0853	0.0701	0.0570	0.0476	0.0579	0.6382	0.5550	0.5990	5.5200	5.6242	5.3410	0.1051	0.0774	0.0789
Ruminococcus_D bicirculans	MGYG000002321.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.2618	5.3997	5.3989	5.4605	4.3343	4.3326	5.3701	5.5605	2.4321	2.5115	2.2139	2.3294	2.6627	2.7557	2.1647	2.3009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2947	0.3109	0.3187	0.2765	0.0000	0.0000	0.0000	0.3000	0.5306	0.6138	0.6137	0.5140	0.8085	0.7586	0.5535	0.5378	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4554	1.4193	1.3164	1.5283	1.6470	1.7851	1.4824	1.4032	0.0000	0.0000	5.2723	5.4274	5.0549	2.9728	2.9905	2.0771	0.2055	0.1378	0.1304	0.4299	0.4162	0.4582	0.0000	0.0000	0.0000	1.5573	1.4782	1.3782
Faecalibacterium prausnitzii_C	MGYG000000022.fna	0.7912	0.7475	0.8114	0.6976	1.0209	0.0000	0.7818	0.7831	5.1049	4.9441	5.1135	4.7095	3.7823	3.8263	5.0723	4.9402	0.7442	0.7296	0.7602	0.8602	0.0000	0.0000	0.7619	0.7734	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5526	0.5244	0.5586	0.5809	0.0000	0.0000	0.5355	0.4950	1.1491	1.1552	1.2652	1.1960	1.7791	1.3500	1.1797	1.1788	0.0000	0.7016	0.0000	0.6317	0.0000	0.0000	0.0000	0.0000	0.9413	1.0031	0.9739	0.9475	1.3766	1.6137	0.9436	0.9783	0.7123	0.8035	5.0055	5.0495	5.3056	0.9398	0.8955	1.0152	0.5202	0.4673	0.4970	1.1998	1.2409	1.2378	0.6255	0.6211	0.6846	0.9507	0.9846	1.0388
Faecalibacterium sp.	MGYG000000876.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0665	4.8874	4.9340	4.6465	3.2881	3.8620	5.1198	4.8708	0.9499	0.9191	0.9631	0.9612	1.4297	1.7751	1.0884	0.9426	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6227	0.5198	0.5446	0.0000	0.0000	0.0000	0.5706	0.5563	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0712	0.0000	1.4625	0.0000	1.0874	0.0000	0.5035	4.9867	4.9646	5.2417	1.1600	1.1395	1.2652	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6500	0.0000	0.0000	0.0000	0.0000	0.0000
Agathobacter faecis	MGYG000003694.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5804	0.6121	0.6090	0.6116	0.8660	1.1219	0.6198	0.6031	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4154	0.4187	0.4446	0.4829	0.6947	0.7324	0.4207	0.4390	0.5094	0.5864	0.5792	0.5492	0.9298	0.8013	0.5362	0.5450	4.9368	4.7891	5.1803	4.7109	3.7025	4.0973	4.8458	4.8150	0.0000	0.0000	0.3328	0.3812	0.0000	0.0000	0.0000	0.3424	0.0000	0.0000	0.0000	0.0000	0.0000	0.4964	0.5384	0.4942	0.3622	0.3598	0.3770	0.4224	0.4222	0.3977	4.5952	4.6036	4.6728	0.2108	0.2095	0.2398
Coprococcus eutactus_A	MGYG000000231.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.4270	4.5080	4.4244	4.7510	4.0324	4.4040	4.3737	4.5746	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.3868	4.5106	4.5382	4.3560	4.1172	3.8900	4.4992	4.3212	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.9880	3.9740	3.7648	0.1326	0.0853	0.1527	4.0830	3.9251	4.1603	0.0701	0.0000	0.0000	0.5142	0.5464	0.5315
Faecalibacterium prausnitzii_H	MGYG000000039.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4223	1.3141	1.3736	1.3296	2.1175	2.1401	1.3630	1.3244	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.2943	4.1956	4.0315	4.2858	3.5450	3.1588	4.1658	4.3260	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3294	1.2864	1.4075	0.0000	0.0000	0.0000	4.5076	4.7056	4.4936	0.0000	0.0000	0.0000	0.6462	0.6491	0.7092
CAG-353 sp900066885	MGYG000000089.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5930	0.5780	0.6010	0.5675	1.3337	0.8978	0.5679	0.5722	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.4921	4.5856	4.5633	4.5456	3.8145	3.4287	4.6444	4.5370	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1769	0.1310	0.1353	4.3588	4.3209	4.4628	0.1240	0.1189	0.0877	0.5361	0.5837	0.5321
CAG-103 sp900757655	MGYG000001565.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9018	0.9171	0.9155	0.8494	0.9882	1.4199	0.8747	0.8784	4.3981	4.5151	4.4789	4.0425	3.8223	3.3059	4.4597	4.3542	1.1592	1.0930	1.0048	1.0667	1.1898	1.3106	1.1019	1.0635	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1511	0.1779	0.0000	0.8817	0.8765	0.9808	1.2968	1.2124	1.3834	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Faecalibacterium prausnitzii_G	MGYG000002545.fna	0.0000	0.4658	0.0000	0.0000	0.0000	0.0000	0.0000	0.4043	1.1929	1.1416	1.0378	1.1496	1.6434	1.6284	1.1644	1.1555	1.0356	0.9927	0.9062	0.9806	1.5673	1.8546	1.0154	0.9604	0.6766	0.6260	0.6472	0.5371	1.0782	0.8910	0.6178	0.6414	0.5177	0.4700	0.5440	0.5367	0.6994	0.7746	0.4732	0.4540	0.8308	0.7889	0.8298	0.8222	1.1370	0.9482	0.7681	0.8164	4.1080	4.1967	2.5136	4.1563	3.1871	2.9645	4.1130	4.1663	0.9001	0.8935	0.9172	0.7843	1.0925	1.1101	0.9177	0.8658	0.3041	0.2882	1.1199	1.0771	1.2408	0.9574	0.9129	1.0901	0.4364	0.3848	0.4590	0.7695	0.8710	0.8650	3.7302	3.7591	4.0638	0.9118	0.9220	0.9444
